n_features,roc_auc,lift@1%,lift@5%,lift@10%,var_eliminada
423,0.721331607915562,5.8576663016961525,3.3336530945782705,3.018146683854118,uni_cliente_fijo
422,0.7253952892797618,4.956486870665976,2.883159433148774,2.7028179258395086,uni_cliente_movil
421,0.7222218457173322,5.407076586181064,3.2435543622923717,2.8830057875621424,uni_cliente_tv
420,0.7171928018096843,3.604717724120709,3.063356897720573,2.9730997184234593,uni_cliente_segmento_GRAN CUENTA
419,0.7137044759926704,3.604717724120709,3.1534556300064724,2.522630064116875,uni_cliente_segmento_PROFESIONAL
418,0.7188072988372824,4.956486870665976,2.7930607008628754,2.9730997184234593,uni_cliente_segmento_PYME
417,0.7090057189971295,3.1541280086056207,2.612863236291077,2.6127239949781917,uni_cliente_segmento_RESIDENCIAL
416,0.7161979757559049,4.055307439635798,3.1534556300064724,3.018146683854118,uni_lineas_fijo_cliente
415,0.7314348162370954,4.505897155150887,3.3336530945782705,3.1532875801460936,uni_lineas_movil_cliente
414,0.7272491953529747,4.956486870665976,3.3336530945782705,3.0631936492847767,min_ratio_cc_min_mov_cli
413,0.7145740460791998,4.055307439635798,2.7930607008628754,2.9730997184234593,axe_perfilnucleo_Jubilado 
412,0.7291038824735661,5.407076586181064,3.2435543622923717,3.018146683854118,btl_xsell_num_envios_last6months
411,0.7210240194418793,4.505897155150887,3.2435543622923717,2.928052752992801,conn_fix_flag_config_defec_naveg_fij_dm7_cli
410,0.7180645708449866,4.055307439635798,3.2435543622923717,2.8379588221314838,axe_tipofamilia_Familiares
409,0.7125431066056133,2.2529485775754434,2.883159433148774,2.747864891270167,axe_tipofamilia_Familia Monoparentales con Hijos
408,0.7187579366429747,4.055307439635798,3.063356897720573,2.65777096040885,axe_perfilnucleo_Joven
407,0.7143426637974111,3.1541280086056207,3.3336530945782705,2.522630064116875,conn_fix_num_alarm_no_soluc_ont_fij_dm7_cli
406,0.7233813766390219,4.505897155150887,3.2435543622923717,3.378522407299386,axe_tipofamilia_Viudos
405,0.7242070398467783,4.956486870665976,3.5138505591500686,2.9730997184234593,axe_perfilnucleo_Senior
