n_features,roc_auc,lift@1%,lift@5%,lift@10%,var_eliminada
461,0.7166503370460584,3.938225072612192,2.9924130140308884,2.9135100318695173,uni_cliente_fijo
460,0.7181833844335124,5.11969259439585,3.071160724926438,2.637907731557536,uni_cliente_movil
459,0.720645884078475,3.544402565350973,3.4648992794041864,2.756023003119814,dias_ult_evento_dns
458,0.7167659027773926,4.332047579873412,3.071160724926438,2.9528817890569434,conn_fix_oe_alarm_ont_fij_dm7_cli
457,0.7185439890105624,3.544402565350973,3.937385544777485,2.992253546244369,uni_cliente_tv
456,0.7119520680152542,3.544402565350973,2.51992674865759,2.834766517494666,uni_cliente_segmento_GRAN CUENTA
455,0.7244337657310989,4.725870087134631,3.071160724926438,3.070997060619221,uni_cliente_segmento_PROFESIONAL
454,0.7218785046815361,4.332047579873412,3.3861515685086365,2.756023003119814,uni_cliente_segmento_PYME
453,0.7229709695353522,3.544402565350973,3.228656146717537,2.7953947603072398,uni_cliente_segmento_RESIDENCIAL
452,0.720944073496864,4.725870087134631,3.307403857613087,2.9528817890569434,uni_lineas_fijo_cliente
451,0.7175996419878263,3.938225072612192,3.3861515685086365,2.9135100318695173,axe_perfilhijos_No Emancipados
450,0.7161524968500408,5.11969259439585,3.307403857613087,2.834766517494666,minutos_fuera_tarifa_cli
449,0.7230198134410698,3.938225072612192,3.5436469902997367,3.0316253034317953,axe_tipofamilia_Familia Estandar Joven
448,0.7145826011999509,4.332047579873412,3.5436469902997367,2.9135100318695173,axe_tipofamilia_Parejas Senior Sin Hijos
447,0.7194202696872662,3.544402565350973,3.307403857613087,2.9135100318695173,crm_whatsapp_max_churn_dm45
446,0.7175439599353084,5.11969259439585,3.3861515685086365,2.7953947603072398,axe_nucleo_Compartidos / Otros/ Mix
445,0.7165020091336632,5.5135151016570685,3.6223947011952857,3.0316253034317953,oe_alarm_ont_fij_cli_dm7
444,0.7179279780749056,4.332047579873412,2.834917592239789,2.637907731557536,flag_pporta_crm_dm7
443,0.7130879566768632,4.725870087134631,3.228656146717537,2.5591642171826843,num_llam_cam_tit_60d
442,0.7096106172239451,3.938225072612192,3.1499084358219878,2.8741382746820916,bono_mas_mb_cli
441,0.7127318898562153,5.11969259439585,2.9136653031353386,2.834766517494666,dto_meses_fin_cli
440,0.7223757776580034,4.332047579873412,3.7798901229863855,2.834766517494666,max_ratio_fallos_sms_mov_cli_dm7
439,0.7166257995484765,3.938225072612192,2.9924130140308884,2.716651245932388,min_ratio_cc_min_mov_cli
438,0.7127964478442883,3.1505800580897536,2.67742217044869,2.992253546244369,max_ratio_cc_min_mov_cli
437,0.7208210393747845,3.938225072612192,3.3861515685086365,2.8741382746820916,btl_xsell_num_envios_last6months
436,0.7195140920025069,4.332047579873412,2.9136653031353386,2.9135100318695173,cliente_segmento_PROFESIONAL
435,0.7203555517012638,4.332047579873412,3.1499084358219878,2.834766517494666,btl_xsell_dias_ultima_comunicacion
434,0.7224750515833661,4.725870087134631,3.5436469902997367,2.8741382746820916,dns_cat_education_no_wknd_maxdurationinferred
433,0.7132241628973877,3.544402565350973,3.3861515685086365,2.992253546244369,axe_nucleo_Familiares
432,0.7251794388543207,4.725870087134631,3.228656146717537,3.149740574994073,cliente_movil
431,0.7068703900806662,4.725870087134631,3.307403857613087,2.8741382746820916,axe_tipofamilia_Jubilado con Hijos
430,0.7193715623344035,5.11969259439585,3.228656146717537,2.9528817890569434,axe_perfilnucleo_Joven
429,0.7154610457141983,3.938225072612192,3.3861515685086365,3.0316253034317953,ros_duration_masmovil
428,0.7068132794752068,3.938225072612192,3.701142412090836,2.834766517494666,conn_fix_flag_config_defec_naveg_fij_dm7_cli
